21600			291233			269648			241837			2211			1164			207
21650			291983			270348			242500			2181			1177			244
21700			292733			271048			243768			2191			1186			184
21750			293483			271748			244171			2184			1194			200
21800			294233			272448			244573			2172			1118			191
21850			294983			273148			245178			2169			1125			230
21900			295733			273848			245823			2313			1176			205
21950			296483			274548			247049			2315			1179			215
22000			297233			275248			247474			2088			1199			216
22050			297983			275948			247849			2093			1206			217
22100			298733			276648			249324			2088			1212			188
22149			299468			277334			249655			2303			1262			222
22199			300218			278034			249870			2307			1266			225
22250			300983			278748			250861			2247			1193			202
22300			301733			279448			250812			2251			1204			201
22350			302483			280148			252283			2256			1217			221
22398			303203			280820			252593			2201			1224			196
22448			303953			281520			252836			2200			1229			227
22500			304733			282248			253690			2165			1247			200
22550			305483			282948			254192			2182			1255			196
22600			306233			283648			254728			2235			1218			215
22650			306983			284348			255278			2246			1231			222
22700			307733			285048			256075			2245			1240			222
22749			308468			285734			256724			2224			1313			227
22799			309218			286434			257597			2221			1315			237
22849			309968			287134			258112			2304			1431			263
22899			310718			287834			258984			2305			1438			270
22948			311453			288520			259149			2211			1353			211
22998			312203			289220			259730			2217			1360			220
23048			312953			289920			260383			2223			1370			239
23100			313733			290648			261115			2229			1423			234
23150			314483			291348			261797			2233			1427			248
23200			315233			292048			262530			2328			1394			230
23250			315983			292748			263557			2337			1399			269
23300			316733			293448			263835			2304			1370			224
23350			317483			294148			264518			2303			1379			259
23400			318233			294848			264591			2309			1386			247
23450			318983			295548			265537			2296			1348			250
23500			319733			296248			266506			2287			1361			225
23549			320468			296934			267011			2313			1511			268
23599			321218			297634			267876			2322			1517			228
23648			321953			298320			268167			2327			1481			256
23698			322703			299020			268667			2339			1488			247
23748			323453			299720			269359			2355			1495			269
23798			324203			300420			270070			2261			1510			246
23848			324953			301120			270664			2273			1517			243
23899			325718			301834			271095			2347			1362			254
23949			326468			302534			272169			2345			1366			233
23998			327203			303220			272957			2321			1599			289
24048			327953			303920			273560			2319			1601			288
24098			328703			304620			273854			2317			1615			295
24148			329453			305320			274762			2341			1572			263
24198			330203			306020			275614			2349			1583			265
24250			330983			306748			275795			2467			1671			281
24300			331733			307448			276689			2472			1683			287
24349			332468			308134			277509			2429			1646			300
24399			333218			308834			277669			2433			1655			297
24450			333983			309548			278471			2511			1771			312
24500			334733			310248			279448			2525			1785			306
24550			335483			310948			279432			2529			1791			326
24596			336173			311592			280056			2397			1694			305
24646			336923			312292			280732			2408			1707			319
24697			337688			313006			281927			2478			1598			314
24747			338438			313706			282293			2478			1608			295
24800			339233			314448			282788			2380			1654			277
24850			339983			315148			283955			2389			1662			287
24899			340718			315834			284634			2484			1714			301
24949			341468			316534			284728			2490			1723			303
24999			342218			317234			285745			2394			1736			301
25049			342968			317934			286178			2402			1745			284
25099			343718			318634			286669			2409			1752			256
25150			344483			319348			287656			2495			1690			323
25200			345233			320048			288170			2510			1697			312
25248			345953			320720			288711			2490			1936			327
25298			346703			321420			288986			2500			1939			334
25348			347453			322120			289646			2625			1786			297
25398			348203			322820			290573			2622			1788			335
25449			348968			323534			291417			2470			1834			314
